ARC123.NF.1st,ARC123,Absorb in Aether,1,NF,1st,R,1,,4,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC123.png,Wizard,Defense Reaction
ARC123.RF.1st,ARC123,Absorb in Aether,1,RF,1st,R,1,,4,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC123.png,Wizard,Defense Reaction
ARC123.NF.Unl,ARC123,Absorb in Aether,1,NF,Unl,R,1,,4,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC123.png,Wizard,Defense Reaction
ARC123.RF.Unl,ARC123,Absorb in Aether,1,RF,Unl,R,1,,4,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC123.png,Wizard,Defense Reaction
ARC124.NF.1st,ARC124,Absorb in Aether,2,NF,1st,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC124.png,Wizard,Defense Reaction
ARC124.RF.1st,ARC124,Absorb in Aether,2,RF,1st,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC124.png,Wizard,Defense Reaction
ARC124.NF.Unl,ARC124,Absorb in Aether,2,NF,Unl,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC124.png,Wizard,Defense Reaction
ARC124.RF.Unl,ARC124,Absorb in Aether,2,RF,Unl,R,1,,3,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC124.png,Wizard,Defense Reaction
ARC125.NF.1st,ARC125,Absorb in Aether,3,NF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC125.png,Wizard,Defense Reaction
ARC125.RF.1st,ARC125,Absorb in Aether,3,RF,1st,R,1,,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC125.png,Wizard,Defense Reaction
ARC125.NF.Unl,ARC125,Absorb in Aether,3,NF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC125.png,Wizard,Defense Reaction
ARC125.RF.Unl,ARC125,Absorb in Aether,3,RF,Unl,R,1,,2,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC125.png,Wizard,Defense Reaction
CRU104.NF.1st,CRU104,Absorption Dome,2,NF,1st,M,0,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU104.png,Mechanologist,Action,Item
CRU104.RF.1st,CRU104,Absorption Dome,2,RF,1st,M,0,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU104.png,Mechanologist,Action,Item
CRU104.NF.Unl,CRU104,Absorption Dome,2,NF,Unl,M,0,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU104.png,Mechanologist,Action,Item
CRU104.RF.Unl,CRU104,Absorption Dome,2,RF,Unl,M,0,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU104.png,Mechanologist,Action,Item
1HP186.NF,1HP186,Achilles Accelerator,,NF,,C,,,0,https://storage.googleapis.com/fabmaster/media/images/1HP186.width-450.png,Mechanologist,Equipment,Legs
ARC005.NF.1st,ARC005,Achilles Accelerator,,NF,1st,C,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC005.png,Mechanologist,Equipment,Legs
ARC005.CF.1st,ARC005,Achilles Accelerator,,CF,1st,C,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2020-ARC/ARC005.png,Mechanologist,Equipment,Legs
ARC005.NF.Unl,ARC005,Achilles Accelerator,,NF,Unl,C,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC005.png,Mechanologist,Equipment,Legs
ARC005.RF.Unl,ARC005,Achilles Accelerator,,RF,Unl,C,,,0,https://storage.googleapis.com/fabmaster/cardfaces/2020-U-ARC/U-ARC005.png,Mechanologist,Equipment,Legs
FAB101.GF,FAB101,Achilles Accelerator,,GF,,P,,,0,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB101.png,Mechanologist,Equipment,Legs
EVO013.RF,EVO013,Adaptive Plating,,RF,,L,,,1,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO013.png,Mechanologist,Equipment
EVO013.CF,EVO013,Adaptive Plating,,CF,,L,,,1,https://storage.googleapis.com/fabmaster/cardfaces/2023-EVO/EN/EVO013.png,Mechanologist,Equipment
FAB169.GF,FAB169,Adaptive Plating,,GF,,P,,,1,https://storage.googleapis.com/fabmaster/cardfaces/promos/FAB169.png,Mechanologist,Equipment
MON263.NF.1st,MON263,Adrenaline Rush,1,NF,1st,C,2,4,2,https://storage.googleapis.com/fabmaster/media/images/MON263.width-450.png,Generic,Action,Attack
MON263.RF.1st,MON263,Adrenaline Rush,1,RF,1st,C,2,4,2,https://storage.googleapis.com/fabmaster/media/images/MON263.width-450.png,Generic,Action,Attack
MON263.NF.Unl,MON263,Adrenaline Rush,1,NF,Unl,C,2,4,2,https://storage.googleapis.com/fabmaster/media/images/U-MON263.width-450.png,Generic,Action,Attack
MON263.RF.Unl,MON263,Adrenaline Rush,1,RF,Unl,C,2,4,2,https://storage.googleapis.com/fabmaster/media/images/U-MON263.width-450.png,Generic,Action,Attack
MON264.NF.1st,MON264,Adrenaline Rush,2,NF,1st,C,2,3,2,https://storage.googleapis.com/fabmaster/media/images/MON264.width-450.png,Generic,Action,Attack
MON264.RF.1st,MON264,Adrenaline Rush,2,RF,1st,C,2,3,2,https://storage.googleapis.com/fabmaster/media/images/MON264.width-450.png,Generic,Action,Attack
MON264.NF.Unl,MON264,Adrenaline Rush,2,NF,Unl,C,2,3,2,https://storage.googleapis.com/fabmaster/media/images/U-MON264.width-450.png,Generic,Action,Attack
MON264.RF.Unl,MON264,Adrenaline Rush,2,RF,Unl,C,2,3,2,https://storage.googleapis.com/fabmaster/media/images/U-MON264.width-450.png,Generic,Action,Attack
MON265.NF.1st,MON265,Adrenaline Rush,3,NF,1st,C,2,2,2,https://storage.googleapis.com/fabmaster/media/images/MON265.width-450.png,Generic,Action,Attack
MON265.RF.1st,MON265,Adrenaline Rush,3,RF,1st,C,2,2,2,https://storage.googleapis.com/fabmaster/media/images/MON265.width-450.png,Generic,Action,Attack
MON265.NF.Unl,MON265,Adrenaline Rush,3,NF,Unl,C,2,2,2,https://storage.googleapis.com/fabmaster/media/images/U-MON265.width-450.png,Generic,Action,Attack
MON265.RF.Unl,MON265,Adrenaline Rush,3,RF,Unl,C,2,2,2,https://storage.googleapis.com/fabmaster/media/images/U-MON265.width-450.png,Generic,Action,Attack
DTD007.NF,DTD007,"Aegis, Archangel of Protection",,NF,,M,,4,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD007_BACK.png,Light,Angel,Ally
DTD007.CF,DTD007,"Aegis, Archangel of Protection",,CF,,V,,4,,https://storage.googleapis.com/fabmaster/cardfaces/2023-DTD/EN/DTD007_BACK_V2.png,Light,Angel,Ally
DRO003.NF,DRO003,Aether Ashwing,,NF,,T,,1,,https://storage.googleapis.com/fabmaster/media/images/DRO003.width-450.png,Draconic,Illusionist,Token,Dragon,Ally
UPR042.NF,UPR042,Aether Ashwing,,NF,,T,,1,,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR042.png,Draconic,Illusionist,Token,Dragon,Ally
UPR042.CF,UPR042,Aether Ashwing,,CF,,C,,1,,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR042_B.png,Draconic,Illusionist,Token,Dragon,Ally
UPR042.CF,UPR042,Aether Ashwing,,CF,,V,,1,,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR042_CF.png,Draconic,Illusionist,Token,Dragon,Ally
1HP304.NF,1HP304,Aether Conduit,,NF,,R,,,,https://storage.googleapis.com/fabmaster/media/images/1HP304.width-450.png,Wizard,Weapon,Staff,2H
CRU160.NF.1st,CRU160,Aether Conduit,,NF,1st,R,,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU160.png,Wizard,Weapon,Staff,2H
CRU160.CF.1st,CRU160,Aether Conduit,,CF,1st,R,,,,https://storage.googleapis.com/fabmaster/cardfaces/2020-CRU/CRU160.png,Wizard,Weapon,Staff,2H
CRU160.NF.Unl,CRU160,Aether Conduit,,NF,Unl,R,,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU160.png,Wizard,Weapon,Staff,2H
CRU160.RF.Unl,CRU160,Aether Conduit,,RF,Unl,R,,,,https://storage.googleapis.com/fabmaster/cardfaces/2021-U-CRU/U-CRU160.png,Wizard,Weapon,Staff,2H
UPR173.NF,UPR173,Aether Dart,1,NF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR173.png,Wizard,Action
UPR173.RF,UPR173,Aether Dart,1,RF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR173.png,Wizard,Action
UPR174.NF,UPR174,Aether Dart,2,NF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR174.png,Wizard,Action
UPR174.RF,UPR174,Aether Dart,2,RF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR174.png,Wizard,Action
UPR175.NF,UPR175,Aether Dart,3,NF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR175.png,Wizard,Action
UPR175.RF,UPR175,Aether Dart,3,RF,,C,0,,3,https://storage.googleapis.com/fabmaster/cardfaces/2022-UPR/UPR175.png,Wizard,Action
